id,pmid,title,journal,year,type,impact,authors,doi,abstract,created_at,updated_at,visible,display_order,photo_url
20559f47-a888-41fa-95ed-62f115603b19,40678221,"Comparative Analysis of Progression Milestones Across Parkinson's Disease Clinical, Pathological, and Data-driven Subtypes: A 10-year follow-up.",Research square,2025,Research Article,Medium Impact,"Negida A, Mukhopadhyay N, Berman B, Barrett M",10.21203/rs.3.rs-6574563/v1,"Parkinson's disease (PD) heterogeneity complicates disease-modification clinical trial design and lead to ambiguous results, necessitating robust subtyping frameworks to identify rapid progressors. This study compared progression milestones across previously defined clinical (tremor-dominant [TD], postural instability/gait difficulty [PIGD], indeterminate), pathological (brain-first, body-first), and data-driven (diffuse malignant [DM], intermediate [IM], mild motor-predominant [MMP]) PD subtypes. Using data from the Parkinson's Progression Markers Initiative (PPMI), we analyzed milestone attainment across six functional domains and performed competing risks regression. Randomized controlled trial sample size simulations evaluated the impact of subtyping on trial efficiency. Data-driven subtypes exhibited the highest progression rates, with DM patients attaining 50% of milestones, surpassing PIGD (43.0%) and body-first (42.0%) subtypes. Competing risks regression confirmed that DM patients had more than double the hazard of progression compared to MMP (SHR 2.02, 95% CI 1.49 to 2.75; P &lt; 0.001). Trial power simulations demonstrated that enrolling DM patients could reduce sample size requirements by approximately 50% using standard trial durations compared to unstratified PD cohorts. This analysis showed that data-driven subtyping, particularly the identification of the DM subtype, offers a promising strategy to optimize disease-modification trials in PD by capturing patients who meet progression milestones earlier.",2025-10-19 00:02:32.103382+00,2025-10-20 18:38:07.20068+00,t,0,https://dqzaibcefjcxrldrggwh.supabase.co/storage/v1/object/public/publication-photos/20559f47-a888-41fa-95ed-62f115603b19.png
a0e2612c-bd69-4f26-aca8-6a74b5f7d20f,40057880,Assessing the Efficacy of Spinal Cord Stimulation in Managing Painful Diabetic Neuropathy: A Systematic Review and Meta-Analysis.,Neuromodulation : journal of the International Neuromodulation Society,2025,Research Article,Medium Impact,"Abbas A, Abouelmagd M, El-Moslemani M, Diaa A, Samir A, et al.",10.1016/j.neurom.2025.01.016,"Diabetes mellitus affects more than half a billion people globally, often leading to painful diabetic neuropathy (PDN). Spinal cord stimulation (SCS) has emerged as a promising treatment for PDN.",2025-10-19 00:02:32.467201+00,2025-10-20 00:51:58.883198+00,f,0,
f2206a33-8976-4c06-9677-4abded5f7afe,39715964,Meta-analysis of the efficacy and safety of vamorolone in Duchenne muscular dystrophy.,Neurological sciences : official journal of the Italian Neurological Society and of the Italian Society of Clinical Neurophysiology,2025,Research Article,Medium Impact,"Ibrahim M, Abdelwahab O, Elawfi B, Ali F, Amro S, et al.",10.1007/s10072-024-07939-1,"Duchenne muscular dystrophy (DMD) is a severe neuromuscular disorder, often leading to wheelchair dependence by age 13 with limited treatment options, largely relying on glucocorticosteroids. We assessed the efficacy and safety of vamorolone, a modified synthetic corticosteroid, for DMD.",2025-10-19 00:02:32.704873+00,2025-10-20 00:51:59.134585+00,f,0,
89fed324-d495-4042-9825-3036e4963a06,40043330,Rates of discontinuation and non-publication of endovascular stroke clinical studies: A cross-sectional analysis.,Journal of clinical neuroscience : official journal of the Neurosurgical Society of Australasia,2025,Research Article,Medium Impact,"Alkhawaldeh I, Abdelhady M, Aljabali A, Abo-Elnour D, Elhalag R, et al.",10.1016/j.jocn.2025.111122,The discontinuation and non-publication of clinical studies in various medical fields undermine research efforts and may bias the medical evidence base. This study investigates the prevalence and factors associated with these issues in endovascular stroke studies.,2025-10-19 00:02:32.586094+00,2025-10-20 00:51:59.01058+00,f,0,
2440cd83-5eb2-416e-beaf-67dbe47007ae,40910967,Impact of Subthalamic Nucleus Deep Brain Stimulation on Gastrointestinal Symptoms and Gastric Emptying in Parkinson's Disease: A Systematic Review and Meta-Analysis.,Neuromodulation : journal of the International Neuromodulation Society,2025,Research Article,Medium Impact,"Abbas A, Sabet H, Hawas Y, Yousef O, Kassar O, et al.",10.1016/j.neurom.2025.07.005,This systematic review and meta-analysis evaluates the efficacy of bilateral subthalamic nucleus (STN) deep brain stimulation (DBS) in improving gastric motility in patients with Parkinson's disease (PD).,2025-10-19 00:02:31.847072+00,2025-10-20 00:51:58.276015+00,f,0,
4314808a-3066-4bfe-95fd-d7c70773a581,39532798,Efficacy and safety of transcranial direct current stimulation (tDCS) in treatment of refractory epilepsy: an updated systematic review and meta-analysis of randomized sham-controlled trials.,Neurological sciences : official journal of the Italian Neurological Society and of the Italian Society of Clinical Neurophysiology,2025,Research Article,Medium Impact,"Hawas Y, Abbas A, Alkhawaldeh I, Zeid M, Al Azzawi M, et al.",10.1007/s10072-024-07866-1,"Despite the currently available treatment, one-third of epilepsy patients continue to experience seizures. Transcranial direct current stimulation (tDCS) has emerged as a potential neuromodulation approach for the non-invasive treatment of refractory epilepsy. This study aims to provide a comprehensive investigation of the efficacy and safety of tDCS in patients with drug-resistant epilepsy. The following databases were searched from inception until June 2023; PubMed, Scopus, Embase, WOS, EBSCO, Cochrane Central, and Ovid MEDLINE. Pooled mean difference was calculated for change in seizure frequency (SF), and number of Interictal epileptiform discharges (IEDs) at different follow-up intervals. We included nine parallel randomized sham-controlled trials with a total of 267 patients. Active tDCS patients had a significantly lower SF per month at 4 and 8 weeks (MD = -4.06, 95% CI [-6.01 to -2.12], p&#x2009;&lt;&#x2009;0.0001), and (MD = -2.66, 95% CI [-5.09 to -0.23], p&#x2009;=&#x2009;0.03), respectively. However, weekly SF showed no statistically significant results at 4 weeks of follow-up. The IEDs were observed to significantly decline at 2, 4, and 8 weeks of follow-up. The reported adverse events were mild including mild itching and erythematous rash that resolved spontaneously. In conclusion, tDCS significantly reduced monthly SF and the number of IEDs. Future large RCTs with standard clear informed parameters are still required.",2025-10-19 00:02:33.252409+00,2025-10-20 00:51:59.62583+00,f,0,
6f063837-a7b3-4622-9e15-bb0130b56202,40687401,Patterns and predictors of cholinesterase inhibitor use in dementia with Lewy bodies.,Alzheimer's & dementia,2025,Research Article,Medium Impact,"Heo R, Negida A, Wyman-Chick K, Bateman J, Rodriguez-Porcel F, et al.",10.1002/trc2.70136,Current evidence supports the use of cholinesterase inhibitors (ChEIs) as the first-line symptomatic treatment for improving cognition in dementia with Lewy bodies (DLB). Little is known about current prescribing patterns of ChEIs in DLB. This study aimed to identify the patterns and predictors of ChEI prescribing in patients with DLB in the United States.,2025-10-19 00:02:31.96916+00,2025-10-20 15:37:57.678956+00,t,0,https://dqzaibcefjcxrldrggwh.supabase.co/storage/v1/object/public/publication-photos/6f063837-a7b3-4622-9e15-bb0130b56202.jpg
5b8de75c-92c3-452c-a981-fbb6c43348c8,40569267,Stereoelectroencephalography-guided radiofrequency thermocoagulation for drug-resistant epilepsy: A meta-analysis.,Epilepsia,2025,Research Article,Medium Impact,"Pichardo-Rojas P, Pichardo-Rojas D, Zarate-Duran C, Hjeala-Varas A, Sanchez-Velez R, et al.",10.1111/epi.18524,"In patients with focal drug-resistant epilepsy (DRE), resective epilepsy surgery correlates with high rates of remission. However, in cases where the epileptic region is deemed surgically inaccessible, or when it involves a complex network, stereoelectroencephalography-guided radiofrequency thermocoagulation (SEEG-RFTC) might be an alternative therapeutic strategy. However, most of the available evidence is limited to small observational studies. An updated meta-analysis is warranted to provide a comprehensive assessment of SEEG-RFTC in patients with DRE.",2025-10-19 00:02:32.228636+00,2025-10-20 00:51:58.643496+00,f,0,
4dba67ed-e8ba-412c-b9eb-8dd113755ddf,40923799,In Reply: The Low-Income and Middle-Income Countries' Perspective on Global Neurosurgery Collaborations.,Neurosurgery,2025,Research Article,Medium Impact,"Marchesini N, Kamalo P, Foroglou N, Garozzo D, Gonzalez-Lopez P, et al.",10.1227/neu.0000000000003553,"",2025-10-19 00:02:31.727652+00,2025-10-20 00:51:58.154853+00,f,0,
fae15321-5521-4a1a-a8d8-6049407bd475,36373353,Global Otolaryngology: Role of Low- and Middle-Income Country Researchers.,Otolaryngology--head and neck surgery : official journal of American Academy of Otolaryngology-Head and Neck Surgery,2023,Research Article,Medium Impact,"Djoutsop O, Ogunfolaji O, Ghaith H, Negida A, Kanmounye U",10.1177/01945998221117468,"",2025-10-19 00:02:36.877346+00,2025-10-20 00:52:03.885922+00,f,0,
